did,first_seen,post_count,reply_count,repost_count,like_count,follow_count
did:plc:fflg2n4kkk544lpnx4wp56l7,2026-04-17T16:06:49.065904+00:00,0,0,0,4,0
did:plc:c3gewuxxck3ggp6i2cglkdk6,2026-04-17T16:06:49.065904+00:00,0,0,0,0,0
did:plc:4svzpct2cd77qxcgaoxb25hs,2026-04-17T16:06:49.065904+00:00,1,0,0,0,0
did:plc:vnqc2kyfzigxbhcxh5enxu5g,2026-04-17T16:06:49.082420+00:00,0,0,1,0,0
did:plc:kt3igyin5hdga7w67gpwu6rf,2026-04-17T16:06:49.082420+00:00,0,0,0,0,0
did:plc:4xpsabxgszsi6xdfdtzjztpw,2026-04-17T16:06:49.084434+00:00,0,0,0,1,0
did:plc:ab4mqtraitokat2aahfphu6o,2026-04-17T16:06:49.084434+00:00,0,0,0,0,0
did:plc:64z6wrqngfeag7t6dlb44c4j,2026-04-17T16:06:49.090679+00:00,0,1,0,2,0
did:plc:gum4zrjxghoqjzspyeueklve,2026-04-17T16:06:49.090679+00:00,0,0,0,0,0
did:plc:mcxkgdzia23hete5vz4oi6pm,2026-04-17T16:06:49.090679+00:00,0,1,0,1,0
did:plc:pjk4ayxl4svqpgabvwavyicd,2026-04-17T16:06:49.090679+00:00,0,0,0,0,0
did:plc:gq4fo3u6tqzzdkjlwzpb23tj,2026-04-17T16:06:49.123841+00:00,0,0,0,0,0
did:plc:t4qz2w3bktlv2jkfftchdobk,2026-04-17T16:06:49.123841+00:00,0,1,0,11,0
did:plc:gup4f7vdbzfjugit77n3iiwu,2026-04-17T16:06:49.123841+00:00,0,0,0,0,0
did:plc:lxxlkaehl522s22zunv5zbgh,2026-04-17T16:06:49.140330+00:00,0,0,3,3,1
did:plc:k4jt6heuiamymgi46yeuxtpt,2026-04-17T16:06:49.140330+00:00,0,0,0,0,0
did:plc:5p25qrhqxvfvv7trgrsje3ay,2026-04-17T16:06:49.140330+00:00,0,0,0,1,0
did:plc:lpbrtmsvjk6dedp6rbfzwoya,2026-04-17T16:06:49.140330+00:00,0,0,0,0,0
did:plc:aj5qrru5igntej5hfnodtzu2,2026-04-17T16:06:49.140330+00:00,0,1,0,0,0
did:plc:4c52qi4soqlkztr25if723fv,2026-04-17T16:06:49.140330+00:00,0,0,0,0,0
did:plc:46najsryqiieo66jx264msqs,2026-04-17T16:06:49.150569+00:00,0,0,0,4,0
did:plc:tdekpeg2442mlua3tzmvs35d,2026-04-17T16:06:49.150569+00:00,0,0,0,0,0
did:plc:u4i4lvy6bug7ol5o7x6ve4ur,2026-04-17T16:06:49.150569+00:00,0,0,1,0,0
did:plc:moejpt72sm743idbk3xc46mx,2026-04-17T16:06:49.150569+00:00,0,0,0,0,0
did:plc:7s2uw7uifcydv5gkagkfmosl,2026-04-17T16:06:49.150569+00:00,0,0,0,1,0
did:plc:2updwxymvavrcx6bcrh3m6wk,2026-04-17T16:06:49.150569+00:00,0,0,0,0,0
did:plc:grmyzmbhatlpzjaemwjtu6tw,2026-04-17T16:06:49.150569+00:00,0,0,0,1,0
did:plc:iqut5mk4s7r2zdyoytjh4r37,2026-04-17T16:06:49.150569+00:00,0,0,0,0,0
did:plc:4fg7a2hcz3bepnznwa2sbkkm,2026-04-17T16:06:49.155598+00:00,0,0,0,1,0
did:plc:ql4ykel4bgsqzslwsa3lflh2,2026-04-17T16:06:49.155598+00:00,0,0,0,0,0
did:plc:k3bwtwg2mwaulostgmk7kwtm,2026-04-17T16:06:49.155598+00:00,0,0,0,0,1
did:plc:dxwoqy7xm5i5bl7vh7f7garx,2026-04-17T16:06:49.155598+00:00,0,0,0,0,0
did:plc:y6bpqeb35iqkw6bsn3g2j6pz,2026-04-17T16:06:49.186859+00:00,1,0,0,0,0
did:plc:patuxpqul53srrmqupqi6bsm,2026-04-17T16:06:49.186859+00:00,0,0,0,4,0
did:plc:4xwxmnh6mu62j322mglp7tt6,2026-04-17T16:06:49.186859+00:00,0,0,0,0,0
did:plc:fysowk3633f5wg7m6ok4c2lk,2026-04-17T16:06:49.202163+00:00,0,0,0,1,0
did:plc:mi36alovk73sg2owhwrgv24g,2026-04-17T16:06:49.202163+00:00,0,0,0,0,0
did:plc:c626wdfyavqermv76yxvevll,2026-04-17T16:06:49.202163+00:00,0,0,0,0,91
did:plc:umty3ykwhophro2td662cswh,2026-04-17T16:06:49.202163+00:00,0,0,0,0,0
did:plc:vrubfjhx24f4m4maurnnwt3t,2026-04-17T16:06:49.202163+00:00,0,0,1,2,0
did:plc:2eo6pqby4dzwy4lz2f44p53x,2026-04-17T16:06:49.202163+00:00,0,0,0,0,0
did:plc:hqcs4v5kbwh4ffzktli4le7e,2026-04-17T16:06:49.208551+00:00,0,0,2,2,0
did:plc:3t7cs454kt45pangn7ijuhc6,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:fyedqugtxwnsxceuc7bpqbgc,2026-04-17T16:06:49.208551+00:00,0,0,0,0,1
did:plc:22u3zxnqw6ytqe45dguwe2g7,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:3qqkpdc6iylkzitls4wx3ypn,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:f3ofy4kdnqr7hl3kuzeldvin,2026-04-17T16:06:49.208551+00:00,0,0,2,1,0
did:plc:4lx6nur5wstwoc4wtgj56kyu,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:cxok6pfvz2wte3lun2kf7vg7,2026-04-17T16:06:49.208551+00:00,0,0,2,1,0
did:plc:vunhim5ios6uyjradxi6b4b2,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:d2ute5nduwyttgirrmgjr2hd,2026-04-17T16:06:49.208551+00:00,0,0,1,2,0
did:plc:brg7fqx5xvc3pxbdbzjwihqo,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:p3klnzbzxldlwiwbnekcssri,2026-04-17T16:06:49.208551+00:00,0,0,0,4,0
did:plc:mhtg7vfga5jftbaoviu4ajza,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:ip4hr5lmljzjzwqe7h6jjaij,2026-04-17T16:06:49.208551+00:00,0,0,2,2,0
did:plc:ms5wezl6brnohwjsig73jkma,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:m6ws3fem44eggdjfvj5glqfy,2026-04-17T16:06:49.208551+00:00,0,0,0,6,0
did:plc:tbrthh5pfovhdv5pkdhocnub,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:vifdgl5jb4mf4eilnbcgrmyw,2026-04-17T16:06:49.208551+00:00,0,0,0,1,0
did:plc:rymejmdsjqwkdqe4kiqliyxk,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:n42kwji4glpbw633ijmiodpb,2026-04-17T16:06:49.208551+00:00,3,0,3,2,0
did:plc:ku5u5sdtdrgazgdxphqrxiwl,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:nqzzt2lurgsyusoim4fgphuc,2026-04-17T16:06:49.208551+00:00,0,0,1,0,0
did:plc:4cytsjwl3yeaflegviktpiwr,2026-04-17T16:06:49.208551+00:00,0,0,0,1,0
did:plc:4mkdwu3wwpf2ubsz64nnd54d,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:kt5pim3pqynqayxssrqaizst,2026-04-17T16:06:49.208551+00:00,0,0,1,1,0
did:plc:gdo3iq4zqb2n3hiq5st7vzjb,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:bjrap64qxzltvqawybgcv6bh,2026-04-17T16:06:49.208551+00:00,0,0,0,2,0
did:plc:6q7hzwzwoq3rs324h7dpnbuw,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:j7mlbytv2fobmqrrc4qw4djg,2026-04-17T16:06:49.208551+00:00,0,0,3,4,0
did:plc:6srbddrwvyy3hnaekvvkxvpm,2026-04-17T16:06:49.208551+00:00,0,0,0,0,0
did:plc:lpgqyg4ap74s6xholdawxk2p,2026-04-17T16:06:49.240665+00:00,0,0,0,1,0
did:plc:otuhgd6vezsg73k726z3gf4l,2026-04-17T16:06:49.240665+00:00,0,0,0,5,0
did:plc:an3wazznnozgbpfstcoliann,2026-04-17T16:06:49.240665+00:00,0,0,2,0,0
did:plc:z3b2bzxkrqol5t5ijkbnauez,2026-04-17T16:06:49.240665+00:00,1,0,0,0,0
did:plc:h7n4x3ndxjuaofqrncjoitpl,2026-04-17T16:06:49.240665+00:00,0,0,0,0,4
did:plc:lqmsg6z6wg6qmpokraevrvzl,2026-04-17T16:06:49.240665+00:00,0,0,0,0,0
did:plc:wfbqhiq5rtk4mmpf2hfyezji,2026-04-17T16:06:49.254161+00:00,0,0,1,1,0
did:plc:zrl5qjsyqeqggwxzy32rqpbz,2026-04-17T16:06:49.254161+00:00,0,0,0,0,0
did:plc:evogxxjdimdvge7jh47m6u4r,2026-04-17T16:06:49.254161+00:00,0,0,3,3,0
did:plc:5hma2vzdervbigdd7gmfg6ph,2026-04-17T16:06:49.254161+00:00,0,0,0,0,0
did:plc:fs4ipwr5zncndhqakb433mzx,2026-04-17T16:06:49.254161+00:00,0,0,0,1,0
did:plc:zyq2demh4lorbatgbrsrl3ki,2026-04-17T16:06:49.254161+00:00,0,0,0,0,0
did:plc:vljsudnly4jhdqqclfeixz5p,2026-04-17T16:06:49.265454+00:00,0,1,0,0,0
did:plc:koo5lqlufm24ha3ruhnwtpfm,2026-04-17T16:06:49.265454+00:00,1,1,0,0,0
did:plc:vglskkedko3vliyyfvip44zx,2026-04-17T16:06:49.265454+00:00,0,1,1,1,0
did:plc:exn7dc3ynqod7aex7w5ihzsj,2026-04-17T16:06:49.265454+00:00,0,0,0,0,0
did:plc:kb4i46wgrkt7ukwltlnrdz6r,2026-04-17T16:06:49.268528+00:00,0,0,0,6,0
did:plc:zbxhteyfrwyb3jtxjh6bfxxe,2026-04-17T16:06:49.268528+00:00,0,0,0,0,0
did:plc:csqiqh6pj7djxbppmb4sruh5,2026-04-17T16:06:49.268528+00:00,0,0,0,3,1
did:plc:wmoutubz56rpayvkpg2sbi7k,2026-04-17T16:06:49.268528+00:00,0,0,0,0,0
did:plc:nse4s65utrdawcto4thmv7z7,2026-04-17T16:06:49.268528+00:00,0,0,0,3,0
did:plc:3s5wtzqrvrsvbxl6afiko2yw,2026-04-17T16:06:49.268528+00:00,0,0,0,0,0
