strategy,rho,rep,F,P_inf,silencing_rate
random,0.0197,0,0.0,0.99821,0.01913
random,0.0197,1,0.03136,0.96064,0.0
random,0.0197,2,0.02266,1.0,0.01354
random,0.0197,3,0.01367,0.94637,0.0875
random,0.0197,4,0.03623,1.0,0.0
random,0.0197,5,0.0,0.97463,0.00757
random,0.0197,6,0.0,1.0,0.0
random,0.0197,7,0.02649,0.98134,0.03751
random,0.0197,8,0.00557,0.96557,0.00202
random,0.0197,9,0.05105,0.87388,0.03458
random,0.0197,10,0.0,0.96982,0.0
random,0.0197,11,0.0,0.99368,0.03816
random,0.0197,12,0.031,0.97754,0.04048
random,0.0197,13,0.0,1.0,0.01129
random,0.0197,14,0.0,1.0,0.0022
random,0.0197,15,0.0,1.0,0.0
random,0.0197,16,0.07813,1.0,0.01904
random,0.0197,17,0.0,0.99383,0.0
random,0.0197,18,0.00629,0.99172,0.10814
random,0.0197,19,0.0,0.99027,0.0
random,0.0197,20,0.03706,1.0,0.0
random,0.0197,21,0.03622,1.0,0.04773
random,0.0197,22,0.04546,0.96544,0.02059
random,0.0197,23,0.01806,0.9478,0.02479
random,0.0197,24,0.06656,0.91612,0.02957
random,0.0229,0,0.0,0.94608,0.01482
random,0.0229,1,0.07479,1.0,0.09992
random,0.0229,2,0.04745,0.90114,0.0526
random,0.0229,3,0.00104,1.0,0.00574
random,0.0229,4,0.0,1.0,0.04119
random,0.0229,5,0.04629,0.9376,0.08936
random,0.0229,6,0.07723,1.0,0.04019
random,0.0229,7,0.0,0.99933,0.04423
random,0.0229,8,0.0,0.91715,0.0
random,0.0229,9,0.1042,0.95984,0.03438
random,0.0229,10,0.00496,1.0,0.0
random,0.0229,11,0.0709,1.0,0.01015
random,0.0229,12,0.00871,0.81813,0.0
random,0.0229,13,0.0,1.0,0.0
random,0.0229,14,0.01875,1.0,0.10585
random,0.0229,15,0.05335,0.98168,0.0
random,0.0229,16,0.0,0.99456,0.0
random,0.0229,17,0.04975,0.86578,0.01153
random,0.0229,18,0.03648,0.97474,0.08695
random,0.0229,19,0.05758,0.90008,0.0
random,0.0229,20,0.07199,0.96627,0.01341
random,0.0229,21,0.0181,0.95761,0.0669
random,0.0229,22,0.0,0.97553,0.04156
random,0.0229,23,0.0,0.9536,0.01289
random,0.0229,24,0.10256,1.0,0.00386
random,0.0374,0,0.0,0.98735,0.0
random,0.0374,1,0.015,0.99667,0.0
random,0.0374,2,0.0,0.82234,0.0
random,0.0374,3,0.0,0.98423,0.09681
random,0.0374,4,0.0,0.90522,0.0
random,0.0374,5,0.08886,1.0,0.04251
random,0.0374,6,0.06908,1.0,0.0
random,0.0374,7,0.02667,1.0,0.01703
random,0.0374,8,0.0,0.99924,0.0
random,0.0374,9,0.04326,1.0,0.02164
random,0.0374,10,0.0,0.99726,0.0
random,0.0374,11,0.0,1.0,0.00455
random,0.0374,12,0.05743,0.98951,0.01823
random,0.0374,13,0.0,1.0,0.0
